Supplementary Data 7. Differential gene expression between clone #1 and clone #2 in Table 1,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Diff
MXRA7,0.000292163,-1.280718093,0.106,0.189,1,0.083
ARL4A,0.000294661,0.848077526,0.17,0.096,1,-0.074
DDAH2,0.000298843,0.819733217,0.102,0.047,1,-0.055
TOX,0.000311552,-1.282819081,0.083,0.166,1,0.083
GK5,0.000311639,-0.968571179,0.136,0.225,1,0.089
RNMT,0.000312653,0.427454141,0.322,0.21,1,-0.112
CCS,0.000317044,0.61642961,0.231,0.141,1,-0.09
BORCS5,0.000340879,0.834450283,0.152,0.082,1,-0.07
EXOSC5,0.000344651,1.036192677,0.102,0.048,1,-0.054
TP53TG1,0.000352169,-1.104593993,0.106,0.191,1,0.085
PSAP,0.000361588,-0.505835617,0.428,0.498,1,0.07
RGS10,0.00036415,0.406565372,0.398,0.277,1,-0.121
UFC1,0.000364293,0.43125459,0.508,0.404,1,-0.104
RPS27,0.000364703,-0.149015098,1,1,1,0
CDKN1B,0.000370571,0.375845023,0.42,0.293,1,-0.127
LPIN2,0.000373991,0.587164144,0.231,0.141,1,-0.09
NSMAF,0.000375791,0.748462343,0.159,0.087,1,-0.072
MCL1,0.000376247,0.40918289,0.568,0.446,1,-0.122
RPS4Y1,0.000379299,0.226873164,0.932,0.889,1,-0.043
KARS,0.00040415,0.662823753,0.167,0.094,1,-0.073
AC100810.1,0.000413745,0.887732022,0.117,0.059,1,-0.058
TUBGCP2,0.000414208,0.438768865,0.208,0.121,1,-0.087
SRM,0.000414813,0.487550421,0.322,0.216,1,-0.106
CDC42,0.000419262,-0.379498336,0.655,0.683,1,0.028
ERN1,0.000420158,0.344913257,0.428,0.295,1,-0.133
GSTP1,0.000420246,-0.33943018,0.727,0.756,1,0.029
MTRNR2L12,0.000435435,0.15768167,0.985,0.966,1,-0.019
ANKIB1,0.000436628,0.914180533,0.106,0.051,1,-0.055
LSP1,0.000446457,-0.245035924,0.871,0.886,1,0.015
QTRT1,0.000454433,0.794680501,0.155,0.086,1,-0.069
STK17B,0.000455279,0.383001216,0.538,0.412,1,-0.126
PATL2,0.00046644,-0.768776637,0.212,0.299,1,0.087
SERF2,0.000476485,-0.159092736,0.985,0.956,1,-0.029
TRMT1,0.000495746,0.886409092,0.136,0.073,1,-0.063
GLG1,0.000505155,-0.829531108,0.269,0.342,1,0.073
MPRIP,0.00050824,0.664256038,0.117,0.058,1,-0.059
BTG1,0.000508623,0.246608025,0.936,0.89,1,-0.046
MT1F,0.000517863,0.586117204,0.144,0.077,1,-0.067
JMJD7,0.000520163,0.650257233,0.129,0.066,1,-0.063
PMAIP1,0.000522612,0.885044657,0.11,0.055,1,-0.055
VAMP8,0.000525045,-0.582973503,0.383,0.443,1,0.06
SYNGR1,0.000526717,-1.147668381,0.117,0.199,1,0.082
EIF1,0.000538821,-0.160443,0.992,0.993,1,0.001
GIMAP1,0.000556298,0.491922237,0.383,0.27,1,-0.113
NR1H2,0.000565065,0.472328988,0.277,0.175,1,-0.102
PRR5L,0.000570407,-1.049362976,0.11,0.193,1,0.083
RPS21,0.000604155,0.121772328,0.996,0.998,1,0.002
SS18L2,0.000611545,0.46922576,0.295,0.193,1,-0.102
SPNS3,0.000622091,0.96068852,0.121,0.063,1,-0.058
ARHGDIB,0.000628183,-0.21965754,0.947,0.936,1,-0.011
OFD1,0.000644995,0.524289902,0.284,0.187,1,-0.097
PPP1CA,0.000651589,-0.320016337,0.727,0.744,1,0.017
MSN,0.000659894,-0.321358847,0.705,0.718,1,0.013
PRMT2,0.000662915,-0.249044243,0.648,0.709,1,0.061
RPS9,0.000668878,0.112150048,1,0.995,1,-0.005
DGKA,0.000673069,0.77293386,0.14,0.077,1,-0.063
SLC25A45,0.000705602,0.680160226,0.114,0.057,1,-0.057
EEF2,0.000711942,0.159771432,0.955,0.925,1,-0.03
CORO7,0.000724358,0.713073071,0.25,0.167,1,-0.083
HNRNPC,0.000745861,0.277817236,0.64,0.475,1,-0.165
CAPZB,0.000752255,-0.34064197,0.667,0.712,1,0.045
TMEM147,0.000753048,0.464131871,0.284,0.186,1,-0.098
TBCB,0.000773941,-0.556603613,0.367,0.439,1,0.072
SLK,0.000784808,0.491327629,0.227,0.141,1,-0.086
ANTKMT,0.000795378,0.549619062,0.201,0.12,1,-0.081
RPL22L1,0.000799503,0.451931995,0.439,0.326,1,-0.113
MT-CO2,0.000804838,0.149410364,1,0.998,1,-0.002
UCP2,0.000807178,-0.380050858,0.496,0.561,1,0.065
AC119396.1,0.000817036,0.679545188,0.182,0.108,1,-0.074
PSMB5,0.00083434,0.731957918,0.106,0.053,1,-0.053
CRTAP,0.000883471,0.659591668,0.193,0.119,1,-0.074
SEC61B,0.000886981,0.333285813,0.614,0.466,1,-0.148
HSP90AA1,0.000896676,-0.250555944,0.833,0.834,1,0.001
LETMD1,0.000900564,0.553094024,0.216,0.134,1,-0.082
NFKBIA,0.000935683,0.432351576,0.697,0.59,1,-0.107
TMC6,0.000944552,0.350057895,0.447,0.322,1,-0.125
CRIP1,0.000992505,0.212389588,0.89,0.856,1,-0.034
RPL7A,0.001071677,0.115567515,1,0.999,1,-0.001
RELB,0.001090445,0.572498296,0.102,0.051,1,-0.051
DNAJC5,0.001119719,0.69590505,0.114,0.059,1,-0.055
GPS2,0.001152761,-0.525959413,0.375,0.441,1,0.066
RFTN1,0.001154585,-0.971314974,0.087,0.164,1,0.077
ANXA6,0.00116118,-0.422693581,0.58,0.609,1,0.029
PUF60,0.001176745,-0.758863474,0.205,0.281,1,0.076
DGCR2,0.001186231,0.834816598,0.114,0.06,1,-0.054
SEPTIN7,0.001211302,-0.334703198,0.648,0.674,1,0.026
TMED3,0.001211697,0.589243733,0.212,0.134,1,-0.078
ETFB,0.001216657,0.450385228,0.208,0.129,1,-0.079
DNPH1,0.001228025,0.645677555,0.117,0.062,1,-0.055
RFNG,0.001228887,0.730084196,0.106,0.054,1,-0.052
ADRB2,0.001282681,-0.651685344,0.258,0.337,1,0.079
ISG20,0.001285829,0.392308869,0.417,0.301,1,-0.116
CCNH,0.001291796,-0.573633877,0.314,0.392,1,0.078
PPP3CC,0.001298472,-0.440552241,0.322,0.403,1,0.081
HLA-DMA,0.00129949,0.84071957,0.117,0.063,1,-0.054
SNHG6,0.001320974,0.304685617,0.693,0.551,1,-0.142
UPP1,0.001321791,0.37283191,0.348,0.235,1,-0.113
VGLL4,0.00132942,0.599121275,0.193,0.121,1,-0.072
TUBB,0.001329783,-0.49494733,0.39,0.453,1,0.063
CABIN1,0.001339807,0.518732956,0.212,0.131,1,-0.081
PPA1,0.001346664,0.437979933,0.22,0.138,1,-0.082
ARL6IP1,0.001350671,-0.43930246,0.481,0.534,1,0.053
RPS17,0.001372536,0.296459607,0.674,0.542,1,-0.132
PIM3,0.001379373,0.61873315,0.152,0.087,1,-0.065
APLP2,0.001418481,-1.181932948,0.106,0.178,1,0.072
EEF1D,0.001510375,0.13562656,0.989,0.977,1,-0.012
KCNA3,0.00151861,0.529274879,0.269,0.18,1,-0.089
GABARAPL1,0.001539146,0.370246065,0.307,0.21,1,-0.097
NHP2,0.001556011,0.437399036,0.326,0.23,1,-0.096
NOP14-AS1,0.001600621,0.929116691,0.106,0.055,1,-0.051
AKT3,0.001614396,0.480935408,0.155,0.089,1,-0.066
PMVK,0.00165225,0.679654059,0.121,0.065,1,-0.056
MYO1F,0.001666492,-0.535584386,0.352,0.417,1,0.065
TBC1D10C,0.001718293,-0.33538295,0.591,0.628,1,0.037
PRKAR2A,0.001735086,0.48910738,0.205,0.129,1,-0.076
RSAD1,0.00179583,0.419786254,0.208,0.13,1,-0.078
RABAC1,0.001803765,-0.43309118,0.511,0.55,1,0.039
PPP1CC,0.001811749,0.381899584,0.36,0.245,1,-0.115
OSTF1,0.001830069,-0.461061352,0.367,0.438,1,0.071
NAA16,0.001831166,0.617058403,0.159,0.094,1,-0.065
TSTD1,0.001854267,0.311417005,0.511,0.387,1,-0.124
TMEM14B,0.001902426,0.518474305,0.311,0.22,1,-0.091
AFDN,0.001908526,0.623979813,0.136,0.077,1,-0.059
LAG3,0.001915144,0.510074347,0.265,0.181,1,-0.084
PLAAT4,0.001916781,-0.302549772,0.739,0.773,1,0.034
UBL5,0.001963513,-0.303569905,0.644,0.668,1,0.024
TMBIM1,0.00208026,-0.691440227,0.201,0.278,1,0.077
PEBP1,0.002117124,0.337010919,0.549,0.421,1,-0.128
EIF3E,0.002135719,0.342560274,0.515,0.407,1,-0.108
BRD2,0.002186865,-0.602045821,0.405,0.448,1,0.043
UBB,0.002188411,-0.277716643,0.822,0.808,1,-0.014
ACAP1,0.002201196,0.293275942,0.523,0.4,1,-0.123
LLGL2,0.002232183,-1.003021619,0.102,0.17,1,0.068
DSTN,0.002247396,-0.50777018,0.303,0.38,1,0.077
ARAP2,0.002281784,0.468168206,0.367,0.268,1,-0.099
BTF3L4,0.002291057,0.661486496,0.136,0.079,1,-0.057
TULP4,0.002331721,0.587313287,0.117,0.064,1,-0.053
PRKAG2,0.002349836,0.687413501,0.114,0.062,1,-0.052
TRMO,0.00236717,0.713727513,0.102,0.054,1,-0.048
PSMB9,0.002453452,-0.277582198,0.712,0.733,1,0.021
EI24,0.002553773,0.614519978,0.133,0.076,1,-0.057
TCTN3,0.002587358,0.672496381,0.125,0.071,1,-0.054
PLCL2,0.002587595,0.380853547,0.242,0.159,1,-0.083
NUDCD3,0.00261695,0.638235317,0.114,0.062,1,-0.052
PLPP5,0.002678419,0.898827873,0.11,0.059,1,-0.051
TIMM10,0.002735484,0.427588502,0.216,0.137,1,-0.079
PIK3R1,0.002766571,0.373984288,0.455,0.353,1,-0.102
AK2,0.002792783,0.440576139,0.193,0.122,1,-0.071
AP2B1,0.002807044,-0.9764086,0.114,0.183,1,0.069
NIN,0.002818248,0.447796459,0.208,0.133,1,-0.075
CEBPB,0.002856182,0.34504785,0.299,0.208,1,-0.091
MAF1,0.002859144,0.33206605,0.402,0.281,1,-0.121
BNIP3L,0.00288563,-0.995513602,0.114,0.179,1,0.065
ITGB2-AS1,0.002909734,0.433010003,0.333,0.243,1,-0.09
RPS24,0.003076833,0.107259911,0.996,0.999,1,0.003
ZNF600,0.003120046,-0.940511644,0.106,0.172,1,0.066
RPL15,0.00315917,0.147309391,0.992,0.987,1,-0.005
LINC00667,0.003193129,0.755734449,0.121,0.069,1,-0.052
SYT11,0.003241508,-0.822845468,0.11,0.179,1,0.069
MAN1A2,0.00328608,-0.975468838,0.106,0.171,1,0.065
ANKRD39,0.003307068,0.758188542,0.133,0.077,1,-0.056
UBA52,0.003347155,0.108669328,0.985,0.978,1,-0.007
TRG-AS1,0.003348972,-0.525504925,0.402,0.446,1,0.044
GBP4,0.003362387,0.337704977,0.227,0.147,1,-0.08
ASH1L,0.003397088,0.311336157,0.307,0.212,1,-0.095
CLPP,0.003420651,0.434981871,0.273,0.186,1,-0.087
ADAM10,0.003465917,-0.674735157,0.314,0.366,1,0.052
HERPUD1,0.003469993,0.362585549,0.36,0.255,1,-0.105
RACK1,0.003482604,0.126010475,0.985,0.989,1,0.004
LAIR2,0.003568326,-0.93794773,0.091,0.157,1,0.066
MMP25-AS1,0.003568976,0.441528871,0.155,0.094,1,-0.061
AC022706.1,0.003616397,0.423720954,0.167,0.101,1,-0.066
GRAMD1A,0.003671549,0.665418961,0.186,0.12,1,-0.066
ATXN7,0.003680443,0.464801377,0.155,0.094,1,-0.061
SP140L,0.003684621,0.587997508,0.223,0.145,1,-0.078
NUDT1,0.003707239,-1.286361046,0.064,0.122,1,0.058
RPL37,0.003717876,0.1178738,0.996,0.999,1,0.003
NBDY,0.003721462,0.484514204,0.208,0.137,1,-0.071
UQCC2,0.003756287,0.669632327,0.121,0.069,1,-0.052
AGAP2,0.003763444,0.488794718,0.129,0.074,1,-0.055
ITCH,0.003800659,0.71386551,0.178,0.112,1,-0.066
LCK,0.003829768,-0.283734601,0.655,0.674,1,0.019
FAU,0.003872922,0.09536469,1,1,1,0
ANTXR2,0.003900993,0.732448738,0.102,0.055,1,-0.047
APRT,0.003972919,0.197520183,0.754,0.622,1,-0.132
HDHD5,0.003983029,0.701194365,0.102,0.056,1,-0.046
RCC1L,0.003986275,0.685013154,0.11,0.061,1,-0.049
SIGIRR,0.004002751,-0.423479285,0.451,0.499,1,0.048
ZNF706,0.004079285,0.39799613,0.333,0.244,1,-0.089
TCERG1,0.004385448,0.378647559,0.201,0.129,1,-0.072
TPM3,0.004443172,-0.198600554,0.856,0.868,1,0.012
EIF4EBP2,0.004452087,-0.57140089,0.201,0.273,1,0.072
VPS26B,0.004458645,-0.55121044,0.216,0.285,1,0.069
DOCK10,0.004462959,0.242907362,0.246,0.162,1,-0.084
ATG4D,0.004499528,-1.313666823,0.068,0.124,1,0.056
EVI2A,0.004544732,0.598613335,0.121,0.07,1,-0.051
YEATS4,0.004645808,0.531243295,0.125,0.072,1,-0.053
TUBA1B,0.004695113,-0.374561838,0.436,0.488,1,0.052
TSPYL2,0.00474124,0.525760122,0.22,0.151,1,-0.069
WDR33,0.00474781,0.403822658,0.273,0.189,1,-0.084
MATK,0.004749876,0.323014714,0.545,0.449,1,-0.096
MAPKAPK2,0.004766722,0.357594243,0.246,0.165,1,-0.081
SCML4,0.004768232,0.345406037,0.231,0.154,1,-0.077
ACSF3,0.00477111,0.64058342,0.114,0.064,1,-0.05
PTMA,0.004797463,0.095825496,1,0.995,1,-0.005
ZNF131,0.004813091,0.393870721,0.159,0.098,1,-0.061
ENO2,0.00486999,0.680579513,0.136,0.083,1,-0.053
RNF138,0.004874065,0.421018403,0.144,0.086,1,-0.058
SNRPD2,0.004886077,0.235256486,0.837,0.744,1,-0.093
NSMCE1,0.004918474,0.339719933,0.22,0.142,1,-0.078
PHF10,0.005110256,0.792433868,0.129,0.077,1,-0.052
PPP2R5C,0.005245297,-0.331110621,0.591,0.635,1,0.044
IFNG,0.005245376,-0.796313062,0.189,0.257,1,0.068
PARP8,0.005246732,0.38003102,0.451,0.347,1,-0.104
EBP,0.005405022,-0.946932561,0.125,0.185,1,0.06
GZMM,0.005429099,-0.208693803,0.841,0.837,1,-0.004
HNRNPA2B1,0.005467435,-0.199562457,0.856,0.871,1,0.015
CENPK,0.0055402,0.655913862,0.125,0.074,1,-0.051
SSR4,0.005544257,0.211733373,0.795,0.719,1,-0.076
MRPS7,0.005547384,0.401959886,0.235,0.158,1,-0.077
DNAJC1,0.005590924,-0.466366806,0.292,0.359,1,0.067
ARL4C,0.00563057,0.190200655,0.833,0.729,1,-0.104
STX10,0.005633957,0.36588658,0.246,0.17,1,-0.076
PRKCH,0.005806556,-0.53383905,0.405,0.449,1,0.044
HNRNPA1,0.005854451,0.14838013,0.924,0.886,1,-0.038
PITPNM1,0.005854583,0.535024388,0.125,0.073,1,-0.052
FMNL1,0.005890872,-0.345407172,0.439,0.482,1,0.043
MMP23B,0.00590991,-0.960977088,0.068,0.125,1,0.057
CHD9,0.005998772,0.374093363,0.201,0.131,1,-0.07
IRF2BP2,0.006091995,0.441419497,0.193,0.128,1,-0.065
NFIC,0.006123019,0.668774714,0.11,0.063,1,-0.047
SUB1,0.00615002,-0.348960183,0.561,0.579,1,0.018
SERINC1,0.006165871,-0.588401203,0.231,0.299,1,0.068
IL2RG,0.006182537,-0.172211887,0.883,0.876,1,-0.007
RAB37,0.006213413,-0.590482327,0.216,0.28,1,0.064
GTF3A,0.006230754,0.298212684,0.583,0.462,1,-0.121
LINC01278,0.006241253,-0.906913144,0.087,0.146,1,0.059
IVD,0.006284417,0.56178722,0.114,0.065,1,-0.049
YPEL3,0.006290535,-0.328970478,0.629,0.632,1,0.003
TOMM20,0.006298017,0.280001931,0.534,0.416,1,-0.118
EBLN3P,0.006311991,0.390370921,0.227,0.154,1,-0.073
C1orf174,0.00637185,-1.194857353,0.068,0.122,1,0.054
TRAPPC4,0.006404112,-1.20319528,0.064,0.118,1,0.054
HEBP2,0.006416718,0.469822391,0.261,0.185,1,-0.076
PMS1,0.006469709,0.556214266,0.189,0.125,1,-0.064
MECP2,0.006514383,-1.030142161,0.117,0.176,1,0.059
SGSH,0.006536495,0.69209487,0.11,0.063,1,-0.047
SLC12A9,0.006592799,0.588326859,0.117,0.069,1,-0.048
TRIM33,0.006659817,0.428565055,0.182,0.118,1,-0.064
TMC8,0.006763389,0.295826696,0.375,0.277,1,-0.098
SMDT1,0.006794695,0.255196899,0.451,0.339,1,-0.112
DPY30,0.00684074,0.423987338,0.189,0.124,1,-0.065
MMP24OS,0.006849511,-0.49564806,0.33,0.389,1,0.059
C9orf16,0.006851874,0.265455292,0.64,0.53,1,-0.11
RPS6KA3,0.006859673,0.475583369,0.197,0.131,1,-0.066
GAB3,0.006910866,-0.701648748,0.174,0.24,1,0.066
TANGO2,0.006965862,0.561214957,0.106,0.06,1,-0.046
JUN,0.007023024,0.444902523,0.754,0.679,1,-0.075
STK38,0.007102433,-0.475449861,0.311,0.379,1,0.068
SNRK,0.00718893,-0.627400713,0.17,0.235,1,0.065
SPCS2,0.007210616,-0.551162946,0.326,0.369,1,0.043
CELF2,0.007219228,-0.427001619,0.39,0.447,1,0.057
CCDC91,0.007235867,0.531961635,0.193,0.128,1,-0.065
FDFT1,0.007257756,-0.746775782,0.208,0.267,1,0.059
RPUSD1,0.007309058,0.530993907,0.114,0.066,1,-0.048
IKBKG,0.007311529,-0.78482511,0.129,0.194,1,0.065
TUBA1C,0.007311911,0.415111399,0.17,0.108,1,-0.062
NUDT22,0.007601159,0.412255973,0.22,0.151,1,-0.069
UFM1,0.007687263,0.306217082,0.303,0.216,1,-0.087
MIS18BP1,0.007697812,0.455976394,0.231,0.161,1,-0.07
PCGF5,0.007803105,0.275572866,0.25,0.169,1,-0.081
CYB5R3,0.007833088,-0.665384073,0.174,0.241,1,0.067
CYTH1,0.007905642,-0.360449454,0.504,0.534,1,0.03
UBL3,0.008032229,-0.966318863,0.133,0.187,1,0.054
PLCG1,0.00805317,0.524169917,0.201,0.136,1,-0.065
ELAVL1,0.008058558,0.373008046,0.197,0.131,1,-0.066
RPL7,0.008071477,0.179288542,0.86,0.801,1,-0.059
HPRT1,0.008098336,0.505625502,0.129,0.078,1,-0.051
IFFO2,0.008117412,0.49032887,0.14,0.087,1,-0.053
RALGDS,0.008120339,-0.632411528,0.208,0.27,1,0.062
UGCG,0.008153051,0.53972764,0.125,0.076,1,-0.049
GPR137B,0.008303554,-0.86035878,0.061,0.113,1,0.052
FAM177A1,0.008352302,0.351439739,0.216,0.147,1,-0.069
NLRP1,0.00835917,0.342140201,0.246,0.171,1,-0.075
CDC26,0.00845326,0.315710214,0.205,0.136,1,-0.069
ZNF831,0.008619397,0.374830779,0.178,0.116,1,-0.062
VAMP5,0.008668415,-0.610975293,0.212,0.272,1,0.06
PFDN5,0.008705596,0.121127317,0.958,0.958,1,0
LIME1,0.008723273,0.222535623,0.83,0.705,1,-0.125
PYCR2,0.008804782,0.263149917,0.261,0.179,1,-0.082
STK10,0.00886717,-0.479078494,0.379,0.434,1,0.055
PTP4A2,0.008883461,-0.243448602,0.754,0.735,1,-0.019
CDIPT,0.008887329,-0.945524801,0.11,0.166,1,0.056
ARL2BP,0.008972753,0.376859442,0.265,0.191,1,-0.074
MT-CO3,0.008977678,0.148784581,0.989,0.983,1,-0.006
CARD19,0.00911966,0.477781441,0.129,0.078,1,-0.051
CCL4L2,0.009165739,-1.847034679,0.064,0.115,1,0.051
HAUS3,0.009181178,0.400386636,0.148,0.093,1,-0.055
SPN,0.00919548,-0.446167553,0.417,0.463,1,0.046
TPST2,0.009243985,-0.357299158,0.519,0.545,1,0.026
EIF2AK2,0.009307612,0.444918518,0.152,0.096,1,-0.056
CD247,0.009512844,-0.303675094,0.504,0.529,1,0.025
COX7C,0.009538571,0.187336574,0.867,0.785,1,-0.082
IKBKE,0.00958397,0.387429642,0.106,0.061,1,-0.045
ITGA4,0.009658907,0.23445889,0.644,0.573,1,-0.071
CCND3,0.009659226,-0.261669696,0.655,0.645,1,-0.01
MRPS35,0.009679933,0.390655867,0.186,0.122,1,-0.064
OTULIN,0.009715796,0.580147916,0.11,0.065,1,-0.045
THOC3,0.009905063,0.450479287,0.125,0.076,1,-0.049
TBCA,0.010027744,0.242048493,0.504,0.397,1,-0.107
CCDC85B,0.010110231,0.256513915,0.534,0.426,1,-0.108
CMTM7,0.010150846,0.401754484,0.216,0.148,1,-0.068
SYTL3,0.010559662,-0.50110121,0.303,0.363,1,0.06
PITPNA-AS1,0.010582212,0.676461508,0.117,0.071,1,-0.046
KIF2A,0.01063977,0.276525458,0.523,0.426,1,-0.097
QKI,0.010645112,0.626596014,0.17,0.116,1,-0.054
MRPS34,0.010707246,0.245158561,0.356,0.26,1,-0.096
RASSF3,0.010742338,0.375195775,0.163,0.105,1,-0.058
AGK,0.010772951,0.450165201,0.11,0.065,1,-0.045
XPO1,0.010859806,0.376968515,0.227,0.159,1,-0.068
POGZ,0.010900407,0.278484835,0.174,0.113,1,-0.061
TSPAN17,0.011008423,0.589661754,0.102,0.06,1,-0.042
SKAP1,0.011056754,-0.382849696,0.485,0.513,1,0.028
ARHGAP45,0.01108513,-0.43305636,0.371,0.423,1,0.052
COA4,0.011173096,0.488642942,0.148,0.094,1,-0.054
AAK1,0.01117846,-0.442154542,0.318,0.378,1,0.06
ARHGEF6,0.011182506,0.340282002,0.186,0.124,1,-0.062
MYADM,0.01161279,0.461650691,0.337,0.26,1,-0.077
EXOSC6,0.011627331,0.431906647,0.189,0.13,1,-0.059
UNC119,0.01170181,-0.928725807,0.102,0.156,1,0.054
OSBPL5,0.011721214,-1.084775403,0.053,0.1,1,0.047
E2F3,0.011767822,0.579099575,0.106,0.063,1,-0.043
WDR70,0.011908522,0.563593747,0.117,0.072,1,-0.045
GALM,0.011980832,0.400831604,0.133,0.081,1,-0.052
PNKD,0.012040395,0.232937052,0.28,0.196,1,-0.084
HMOX2,0.012088918,-0.59101581,0.25,0.3,1,0.05
MRPS27,0.012106918,0.598104968,0.11,0.066,1,-0.044
RNF166,0.012228673,-0.385265894,0.33,0.385,1,0.055
ATP5PD,0.012402015,0.325785331,0.42,0.329,1,-0.091
BTBD7,0.012408519,0.683067518,0.114,0.069,1,-0.045
SRP68,0.012507022,0.513121375,0.136,0.086,1,-0.05
CLDND1,0.012638497,0.396209749,0.269,0.195,1,-0.074
JOSD1,0.012644967,0.543191167,0.129,0.08,1,-0.049
MXD4,0.012655147,-0.592893753,0.208,0.272,1,0.064
SLAMF6,0.012687941,-0.780124191,0.178,0.231,1,0.053
RPS14,0.01277003,0.068820198,0.996,0.999,1,0.003
IKZF3,0.012826189,-0.472327414,0.337,0.385,1,0.048
DGKD,0.012867129,-0.684376603,0.133,0.191,1,0.058
PNRC1,0.012903401,-0.150571594,0.943,0.939,1,-0.004
NKAP,0.01290698,0.541364169,0.17,0.113,1,-0.057
U2AF1L4,0.012920783,0.340989617,0.155,0.101,1,-0.054
NOL8,0.013061704,0.546571436,0.117,0.071,1,-0.046
YBX1,0.013140852,0.184172321,0.837,0.777,1,-0.06
USF2,0.013231737,0.415532122,0.205,0.142,1,-0.063
PAIP1,0.013260695,0.397128531,0.14,0.088,1,-0.052
SNAP29,0.013347095,-1.035844502,0.061,0.108,1,0.047
GSTK1,0.013369688,0.206235001,0.773,0.672,1,-0.101
VPS51,0.013539628,0.246151726,0.318,0.231,1,-0.087
PPIL4,0.013650049,0.309276467,0.144,0.091,1,-0.053
RWDD1,0.01366385,0.287526198,0.432,0.34,1,-0.092
PLEKHF1,0.013681913,-0.889631472,0.125,0.178,1,0.053
ARPC3,0.013751018,-0.224940767,0.769,0.775,1,0.006
ABHD18,0.013782283,0.57186522,0.106,0.064,1,-0.042
TRADD,0.013874264,0.359477661,0.223,0.155,1,-0.068
MACF1,0.013900209,-0.395664105,0.409,0.446,1,0.037
UBE2A,0.013966204,-0.690907523,0.136,0.193,1,0.057
TP53I13,0.014093406,0.344980584,0.212,0.147,1,-0.065
WSB2,0.014186698,0.53329807,0.117,0.072,1,-0.045
MRPL40,0.014234539,0.445683281,0.159,0.105,1,-0.054
MARCKSL1,0.014278376,-0.95110863,0.102,0.154,1,0.052
WDFY1,0.014311075,0.516453254,0.144,0.092,1,-0.052
THAP11,0.014313878,0.389848377,0.261,0.186,1,-0.075
PXN,0.014314051,-0.574631935,0.288,0.33,1,0.042
DDX21,0.01435912,0.217709699,0.36,0.268,1,-0.092
RETREG2,0.014370856,-0.877544866,0.136,0.189,1,0.053
STAT5A,0.014389222,0.67220919,0.102,0.061,1,-0.041
PHF1,0.014407766,0.341921099,0.288,0.207,1,-0.081
SRPRA,0.014449609,0.209602355,0.413,0.319,1,-0.094
PARVG,0.014498089,0.420694149,0.223,0.158,1,-0.065
LPCAT4,0.014581682,-0.830167956,0.087,0.14,1,0.053
WIPF1,0.0146591,0.208278357,0.561,0.448,1,-0.113
STAT2,0.014728617,0.430736098,0.125,0.078,1,-0.047
THAP1,0.014739262,0.595247078,0.136,0.089,1,-0.047
ZBTB38,0.01481438,-0.458066479,0.307,0.354,1,0.047
PTPRC,0.014893549,-0.122061558,0.928,0.958,1,0.03
RNASEK,0.014902327,-0.233311658,0.716,0.709,1,-0.007
EIF3G,0.014992059,0.242767803,0.636,0.541,1,-0.095
CD2AP,0.015218407,0.464960715,0.106,0.064,1,-0.042
IGLV2-14,0.015227792,0.490941136,0.205,0.145,1,-0.06
MRPL55,0.015390971,0.307828686,0.193,0.131,1,-0.062
UBE3A,0.015409746,0.202672953,0.36,0.265,1,-0.095
IGBP1,0.015550006,0.278078737,0.345,0.261,1,-0.084
ZSCAN16-AS1,0.01564358,0.440068507,0.152,0.098,1,-0.054
SERP1,0.015733545,0.209846053,0.568,0.464,1,-0.104
SUN2,0.015803237,-0.235849462,0.682,0.699,1,0.017
SRSF8,0.015977052,0.226465899,0.231,0.162,1,-0.069
PLAAT3,0.016180841,-1.004040073,0.095,0.144,1,0.049
PPAN,0.016222235,0.422040356,0.125,0.078,1,-0.047
RGS3,0.016370013,-0.765896059,0.095,0.145,1,0.05
MTG1,0.016415862,-0.890922937,0.091,0.142,1,0.051
BSG,0.016460698,-0.299512536,0.542,0.56,1,0.018
CCNC,0.01655445,0.646042313,0.106,0.064,1,-0.042
TMEM87A,0.016674827,-0.986395293,0.117,0.165,1,0.048
RBM25,0.016689099,-0.431663959,0.367,0.429,1,0.062
ATP5MC3,0.016733721,-0.317679378,0.5,0.51,1,0.01
CALU,0.016744165,0.376231053,0.11,0.067,1,-0.043
THEMIS2,0.016822954,-1.052561071,0.083,0.132,1,0.049
DCTD,0.0168747,0.36727442,0.201,0.139,1,-0.062
RNF19A,0.016954963,0.328209241,0.25,0.183,1,-0.067
SLC39A10,0.017079378,0.513915573,0.155,0.103,1,-0.052
VIRMA,0.017124876,0.484726474,0.125,0.079,1,-0.046
TMEM183A,0.017125355,0.284194282,0.22,0.154,1,-0.066
PLCB2,0.017217257,-0.767206685,0.087,0.139,1,0.052
ATP5PB,0.017238673,-0.347505288,0.398,0.442,1,0.044
RASSF1,0.017486414,-0.336723408,0.496,0.512,1,0.016
EDF1,0.017523267,0.199969376,0.742,0.662,1,-0.08
VEGFB,0.01759889,0.361789632,0.208,0.146,1,-0.062
ESD,0.01764605,0.488799105,0.133,0.084,1,-0.049
TMEM203,0.017743629,0.294924559,0.205,0.143,1,-0.062
SMAP2,0.01776591,0.257331137,0.36,0.277,1,-0.083
